instanceType,memoryPerInstance-GiB,vCpuPerInstance,gPuPerInstance,gPuType,gPuMemory-GiB,cPuType,cPuClockSpeed
c6in.16xlarge,128,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r6id.12xlarge,384,48,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r7a.12xlarge,384,48,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
c6a.24xlarge,192,96,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
r6gd.16xlarge,512,64,0,,0,AWS Graviton2 Processor,2.5 GHz
r6gd.metal,512,64,0,,0,AWS Graviton2 Processor,2.5 GHz
c5a.24xlarge,192,96,0,,0,AMD EPYC 7R32,3.3 GHz
m7a.16xlarge,256,64,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
h1.16xlarge,256,64,0,,0,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz
r8g.16xlarge,512,64,0,,0,AWS Graviton4 Processor,2.7 GHz
m6id.16xlarge,256,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m5n.16xlarge,256,64,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
m6idn.12xlarge,192,48,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c8g.24xlarge,192,96,0,,0,AWS Graviton4 Processor,2.7 GHz
c8g.metal-24xl,192,96,0,,0,AWS Graviton4 Processor,2.7 GHz
c5n.18xlarge,192,72,0,,0,Intel Xeon Platinum 8124M,3 GHz
c5n.metal,192,72,0,,0,Intel Xeon Platinum 8124M,3 GHz
g4dn.12xlarge,192,48,4,NVIDIA T4 Tensor Core,64,Intel Xeon Family,2.5 GHz
f2.12xlarge,512,48,0,,0,AMD EPYC 7R13 Processor,2.95 GHz
m5zn.metal,192,48,0,,0,Intel Xeon Platinum 8252,4.5 GHz
m5zn.12xlarge,192,48,0,,0,Intel Xeon Platinum 8252,4.5 GHz
c7gn.metal,128,64,0,,0,AWS Graviton3 Processor,2.6 GHz
c7gn.16xlarge,128,64,0,,0,AWS Graviton3 Processor,2.6 GHz
d3.8xlarge,256,32,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r5dn.12xlarge,384,48,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
x2gd.12xlarge,768,48,0,,0,AWS Graviton2 Processor,2.5 GHz
r5.16xlarge,512,64,0,,0,Intel Xeon Platinum 8175,3.1 GHz
r6i.16xlarge,512,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c5.metal,192,96,0,,0,Intel Xeon Platinum 8275L,3.4 GHz
c6i.24xlarge,192,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c5.24xlarge,192,96,0,,0,Intel Xeon Platinum 8275L,3.4 GHz
g5.16xlarge,256,64,1,NVIDIA A10G,24,AMD EPYC 7R32,2.8 GHz
i4i.12xlarge,384,48,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
i8g.12xlarge,384,48,0,,0,AWS Graviton4 Processor,2.7 GHz
m5a.24xlarge,384,96,0,,0,AMD EPYC 7571,2.5 GHz
c5ad.24xlarge,192,96,0,,0,AMD EPYC 7R32,3.3 GHz
m6a.24xlarge,384,96,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
r6in.12xlarge,384,48,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r5ad.16xlarge,512,64,0,,0,AMD EPYC 7571,2.5 GHz
d3en.8xlarge,128,32,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r7i.16xlarge,512,64,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
r4.16xlarge,488,64,0,,0,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz
c7i.metal-24xl,192,96,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
c7i.24xlarge,192,96,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
m8g.24xlarge,384,96,0,,0,AWS Graviton4 Processor,2.7 GHz
m8g.metal-24xl,384,96,0,,0,AWS Graviton4 Processor,2.7 GHz
m5dn.16xlarge,256,64,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
g4dn.16xlarge,256,64,1,NVIDIA T4 Tensor Core,16,Intel Xeon Family,2.5 GHz
r7gd.metal,512,64,0,,0,AWS Graviton3 Processor,2.5 GHz
r7gd.16xlarge,512,64,0,,0,AWS Graviton3 Processor,2.5 GHz
m6in.16xlarge,256,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r7iz.12xlarge,384,48,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.9 GHz
z1d.12xlarge,384,48,0,,0,Intel Xeon Platinum 8151,4 GHz
z1d.metal,384,48,0,,0,Intel Xeon Platinum 8151,4 GHz
g6e.8xlarge,256,32,1,,0,AMD EPYC 7R13 Processor,2.6 GHz
g3.16xlarge,488,64,4,NVIDIA Tesla M60,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz
g6.12xlarge,192,48,4,NVIDIA L4,96,AMD EPYC 7R13 Processor,2.6 GHz
c5d.24xlarge,192,96,0,,0,Intel Xeon Platinum 8275L,3.4 GHz
c5d.metal,192,96,0,,0,Intel Xeon Platinum 8275L,3.4 GHz
r5d.16xlarge,512,64,0,,0,Intel Xeon Platinum 8175,3.1 GHz
m6i.24xlarge,384,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m5.24xlarge,384,96,0,,0,Intel Xeon Platinum 8175,3.1 GHz
m5.metal,384,96,0,,0,Intel Xeon Platinum 8175,3.1 GHz
is4gen.8xlarge,192,32,0,,0,AWS Graviton2 Processor,2.5 GHz
r6idn.12xlarge,384,48,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
x8g.12xlarge,768,48,0,,0,AWS Graviton4 Processor,2.7 GHz
inf1.24xlarge,192,96,16,AWS Inferentia,0,Intel Xeon Platinum 8275CL (Cascade Lake),unknown
r5n.16xlarge,512,64,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz
r5b.16xlarge,512,64,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r6id.16xlarge,512,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c6id.24xlarge,192,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m7i.metal-24xl,384,96,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
m7i.24xlarge,384,96,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
r7a.16xlarge,512,64,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
c6a.32xlarge,256,128,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
c7a.24xlarge,192,96,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
i4g.16xlarge,512,64,0,,0,AWS Graviton2 Processor,2.5 GHz
m5ad.24xlarge,384,96,0,,0,AMD EPYC 7571,2.5 GHz
i3.16xlarge,488,64,0,,0,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz
i3.metal,512,72,0,,0,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz
x2iezn.6xlarge,768,24,0,,0,Intel Xeon Platinum 8252,4.5 GHz
m6idn.16xlarge,256,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
vt1.24xlarge,192,96,0,,0,Intel Xeon Platinum 8259CL,2.5 GHz
r5dn.16xlarge,512,64,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
x2gd.metal,1024,64,0,,0,AWS Graviton2 Processor,2.5 GHz
x2gd.16xlarge,1024,64,0,,0,AWS Graviton2 Processor,2.5 GHz
i3en.12xlarge,384,48,0,,0,Intel Xeon Platinum 8175,3.1 GHz
m5d.24xlarge,384,96,0,,0,Intel Xeon Platinum 8175,3.1 GHz
r5a.24xlarge,768,96,0,,0,AMD EPYC 7571,2.5 GHz
m5d.metal,384,96,0,,0,Intel Xeon Platinum 8175,3.1 GHz
c6i.metal,256,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
c6i.32xlarge,256,128,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r6a.24xlarge,768,96,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
c6in.24xlarge,192,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
i4i.16xlarge,512,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
i8g.16xlarge,512,64,0,,0,AWS Graviton4 Processor,2.7 GHz
d2.8xlarge,244,36,0,,0,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz
m6a.32xlarge,512,128,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
m7a.24xlarge,384,96,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
r6in.16xlarge,512,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r8g.metal-24xl,768,96,0,,0,AWS Graviton4 Processor,2.7 GHz
r8g.24xlarge,768,96,0,,0,AWS Graviton4 Processor,2.7 GHz
g5.12xlarge,192,48,4,NVIDIA A10G,96,AMD EPYC 7R32,2.8 GHz
m6id.24xlarge,384,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
m5n.24xlarge,384,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
m5n.metal,384,96,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
im4gn.16xlarge,256,64,0,,0,AWS Graviton2 Processor,2.5 GHz
r7iz.16xlarge,512,64,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.9 GHz
r7iz.metal-16xl,512,64,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.9 GHz
r5.metal,768,96,0,,0,Intel Xeon Platinum 8175,3.1 GHz
r5.24xlarge,768,96,0,,0,Intel Xeon Platinum 8175,3.1 GHz
r6i.24xlarge,768,96,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
